Designer,# Keep,# Cull,Total Games by This Designer,Games
Serge Laget,1,0,1,Nidavellir (KEEP)
Corey Konieczka,1,0,1,Star Wars: Rebellion (KEEP)
Andrea Chiarvesio,1,0,1,Signorie (KEEP)
Marc André,1,0,1,Majesty: For the Realm (KEEP)
Shaun Graham,1,0,1,ClipCut Parks (KEEP)
Scott Huntington,1,0,1,ClipCut Parks (KEEP)
Chang Yu Di,1,0,1,Electropolis (KEEP)
Ku Chun Wei,1,0,1,Electropolis (KEEP)
Wang Liang,1,0,1,Electropolis (KEEP)
Benjamin Schwer,1,0,1,Crown of Emara (KEEP)
Tom Jolly,1,0,1,The Manhattan Project: Energy Empire (KEEP)
Luke Laurie,1,0,1,The Manhattan Project: Energy Empire (KEEP)
James A. Wilson,1,0,1,Everdell (KEEP)
Etienne Espreman,1,0,1,Bruxelles 1893 (KEEP)
Isra C.,1,0,1,1987 Channel Tunnel (KEEP)
Shei S.,1,0,1,1987 Channel Tunnel (KEEP)
Yoann Levet,1,0,1,Myrmes (KEEP)
S J Macdonald,1,0,1,Circadians: First Light (KEEP)
Cole Wehrle,1,0,1,Pax Pamir: Second Edition (KEEP)
Richard Amann,1,0,1,Trickerion: Legends of Illusion (KEEP)
Viktor Peter,1,0,1,Trickerion: Legends of Illusion (KEEP)
Chris Cieslik,1,0,1,Red7 (KEEP)
Steve Finn,1,0,1,Biblios (KEEP)
Manolis Vranas,1,0,1,SHŌBU (KEEP)
Jamie Sajdak,1,0,1,SHŌBU (KEEP)
Kota Nakayama (中山 宏太),1,0,1,Hanamikoji (KEEP)
Ben Bateson,1,0,1,Foothills (KEEP)
François Gandon,1,0,1,Quadropolis (KEEP)
Richard Ulrich,1,0,1,The Princes of Florence (KEEP)
Jens Christopher Ulrich,1,0,1,The Princes of Florence (KEEP)
Martino Chiacchiera,1,0,1,Similo (KEEP)
Andreas Schmidt,1,0,1,Heaven & Ale (KEEP)
Gabriele Bubola,1,0,1,Hats (KEEP)
Juma Al-JouJou,1,0,1,Clans of Caledonia (KEEP)
Peter McPherson,1,0,1,Tiny Towns (KEEP)
Alex Randolph,1,0,1,Ricochet Robots (KEEP)
Nestore Mangone,1,0,1,Darwin's Journey (KEEP)
Nicolas Robert,1,0,1,The Bloody Inn (KEEP)
Nina Håkansson,1,0,1,Nations (KEEP)
Einar Rosén,1,0,1,Nations (KEEP)
Robert Rosén,1,0,1,Nations (KEEP)
Joshua Buergel,1,0,1,The Fox in the Forest (KEEP)
Wei-Min Ling,1,0,1,Shadows in Kyoto (KEEP)
Peter Wichmann,1,0,1,NMBR 9 (KEEP)
Oleksandr Nevskiy,1,0,1,Mysterium Park (KEEP)
Oleg Sidorenko,1,0,1,Mysterium Park (KEEP)
Haakon Gaarder,1,0,1,Villagers (KEEP)
Günter Cornett,1,0,1,"Hey, That's My Fish! (KEEP)"
Alvydas Jakeliunas,1,0,1,"Hey, That's My Fish! (KEEP)"
Andrei Novac,0,1,1,Venice (CULL)
Dávid Turczi,0,1,1,Venice (CULL)
Scott Almes,0,1,1,Boomerang: Europe (CULL)
Samuel Bailey,0,1,1,Lawyer Up (CULL)
Mike Gnade,0,1,1,Lawyer Up (CULL)
Benjamin Kanelos,0,1,1,3 Laws of Robotics (CULL)
Amabel Holland,0,1,1,Irish Gauge (CULL)
Isaac Childres,0,1,1,Founders of Gloomhaven (CULL)
Orin Bishop,0,1,1,Steampunk Rally (CULL)
Fel Barros,0,1,1,Pot de Vin (CULL)
Warny Marçano,0,1,1,Pot de Vin (CULL)
Shane Steely,0,1,1,Walk the Plank! (CULL)
Jared Tinney,0,1,1,Walk the Plank! (CULL)
Michael Schacht,0,1,1,Coloretto (CULL)
Carlo A. Rossi,0,1,1,The Mysterious Forest (CULL)
Jeppe Norsker,0,1,1,Bermuda Pirates (CULL)
Nicolas Bourgoin,0,1,1,Slide Quest (CULL)
Jean-François Rochas,0,1,1,Slide Quest (CULL)
Grzegorz Rejchtman,0,1,1,Ubongo (CULL)
Alan R. Moon,0,1,1,Ticket to Ride: Europe (CULL)
James Ernest,0,1,1,Lords of Vegas (CULL)
Mike Selinker,0,1,1,Lords of Vegas (CULL)
Keith Piggott,0,1,1,Drawn to Adventure (CULL)
Joanna Kijanka,0,1,1,Imperial Settlers: Empires of the North (CULL)
Bruno Faidutti,0,1,1,Raptor (CULL)
Walter Schneider,0,1,1,Coconuts (CULL)
Michal Mikeš,0,1,1,Project L (CULL)
Adam Spanel,0,1,1,Project L (CULL)
Mandela Fernandez-Grandon,0,1,1,Glasgow (CULL)
Connor Reid,0,1,1,5-Minute Mystery (CULL)
Mike Wokasch,0,1,1,Starving Artists (CULL)
Richard Breese,0,1,1,Inhabit the Earth (CULL)
James D'Aloisio,0,1,1,Magic: The Gathering – Arena of the Planeswalkers (CULL)
Ethan Fleischer,0,1,1,Magic: The Gathering – Arena of the Planeswalkers (CULL)
Craig Van Ness,0,1,1,Magic: The Gathering – Arena of the Planeswalkers (CULL)
Trevor Benjamin,0,1,1,Undaunted: Normandy (CULL)
David Thompson (I),0,1,1,Undaunted: Normandy (CULL)
Colby Dauch,0,1,1,Summoner Wars: Alliances Master Set (CULL)
Marek Loskot,0,1,1,Space Race: The Card Game (CULL)
Michael Keller (II),0,1,1,La Granja (CULL)
"Andreas ""ode."" Odendahl",0,1,1,La Granja (CULL)
Mark Major,0,1,1,Chimera Station (CULL)
Ben Pinchback,0,1,1,Piepmatz (CULL)
Matt Riddle,0,1,1,Piepmatz (CULL)
Dave Chalker,0,1,1,Get Bit! (CULL)
Vangelis Bagiartakis,0,1,1,Fields of Green (CULL)
Babis Giannios,0,1,1,Alexandria (CULL)
Ralph Bienert,0,1,1,Carthago: Merchants & Guilds (CULL)
Bernd Eisenstein,0,1,1,Carthago: Merchants & Guilds (CULL)
Aaron Haag,0,1,1,Loot Island (CULL)
Citie Lo,0,1,1,Board Game Cafe Frenzy (CULL)
Al Leduc,0,1,1,Cupcake Empire (CULL)
Yves Tourigny,0,1,1,Cupcake Empire (CULL)
Tom Cleaver,0,1,1,Valley of the Kings: Premium Edition (CULL)
Michał Gołębiowski,0,1,1,Jetpack Joyride (CULL)
Jay Cormier,0,1,1,Junk Art (CULL)
Sen-Foong Lim,0,1,1,Junk Art (CULL)
Daniel Newman,0,1,1,Rolled West (CULL)
Foxtrot Games,0,1,1,The Fox in the Forest Duet (CULL)
Chad DeShon,0,1,1,On Tour (CULL)
Tom McMurchie,0,1,1,Tsuro (CULL)
Sami Laakso,0,1,1,Dale of Merchants (CULL)
Kevin Russ,0,1,1,Calico (CULL)
Stefano Castelli,0,1,1,Minute Realms (CULL)
Mikko Punakallio,0,1,1,Dokmus (CULL)
Josh Wood,0,1,1,Cat Lady (CULL)
Lorenzo Silva,0,1,1,Railroad Ink: Deep Blue Edition (CULL)
Frank Crittin,0,1,1,Ankh'or (CULL)
Grégoire Largey,0,1,1,Ankh'or (CULL)
Molly Johnson,0,1,1,Point Salad (CULL)
Robert Melvin,0,1,1,Point Salad (CULL)
Shawn Stankewich,0,1,1,Point Salad (CULL)
Frank Brooks,0,1,1,Cosmic Encounter Duel (CULL)
Bill Eberle,0,1,1,Cosmic Encounter Duel (CULL)
Peter Olotka,0,1,1,Cosmic Encounter Duel (CULL)
Greg Olotka,0,1,1,Cosmic Encounter Duel (CULL)
Kristian Čurla,0,1,1,Tides of Time (CULL)
Yuri Zhuravljov,0,1,1,Viceroy (CULL)
Shimpei Sato,0,1,1,Onitama (CULL)
Reinhard Staupe,0,1,1,X nimmt! (CULL)
Jacques Zeimet,0,1,1,Ghost Blitz (CULL)
Adrian Adamescu,0,1,1,Sagrada (CULL)
Daryl Andrews,0,1,1,Sagrada (CULL)
Thomas Vuarchex,0,1,1,Jungle Speed (CULL)
Pierrick Yakovenko,0,1,1,Jungle Speed (CULL)
Ronald Halliday,0,1,1,Seven Bridges (CULL)
Jason Glover,0,1,1,Stew (CULL)
Régis Bonnessée,0,1,1,Seasons (CULL)
Steve Jackson (I),0,1,1,Zombie Dice (CULL)
Michael Michaels,0,1,1,Ligretto (CULL)
Robert Dougherty,0,1,1,Star Realms (CULL)
Darwin Kastle,0,1,1,Star Realms (CULL)
Klemens Kalicki,0,1,1,Meadow (CULL)
